receipt_id,receipt_date,receipt_time,store_id,product_id,quantity,unit_price,total_price,payment_type,cashier_id
55,2019-04-26,10:38:01,3,32,4,3.09,12.36,Cash,2
56,2019-04-17,08:58:26,4,17,1,14.83,14.83,Mobile Payment,8
57,2019-04-03,13:15:01,2,7,4,12.77,51.08,Mobile Payment,9
58,2019-04-24,22:49:19,1,19,4,2.31,9.24,Credit Card,3
59,2019-04-29,15:41:47,2,21,3,11.5,34.5,Credit Card,6
60,2019-04-01,22:49:11,2,86,2,10.86,21.72,Credit Card,6
61,2019-04-27,18:44:25,3,24,5,4.35,21.75,Cash,2
62,2019-04-15,05:04:21,4,18,5,8.17,40.85,Mobile Payment,6
63,2019-04-21,02:31:38,5,64,2,12.74,25.48,Cash,10
64,2019-04-12,21:18:25,5,91,5,9.04,45.2,Credit Card,8
65,2019-04-28,16:35:26,1,44,5,13.58,67.9,Cash,6
66,2019-04-10,23:40:44,1,7,2,5.68,11.36,Credit Card,5
67,2019-04-26,12:36:01,1,62,4,2.8,11.2,Cash,1
68,2019-04-28,23:17:53,3,73,4,10.44,41.76,Mobile Payment,1
69,2019-04-03,00:45:59,4,3,2,13.04,26.08,Mobile Payment,5
70,2019-04-06,12:51:12,5,90,1,5.86,5.86,Cash,7
71,2019-04-09,14:46:49,3,37,4,4.54,18.16,Cash,10
72,2019-04-27,14:29:23,5,11,5,6.88,34.4,Credit Card,1
73,2019-04-19,12:56:49,4,65,2,5.99,11.98,Credit Card,8
74,2019-04-17,02:02:17,5,80,2,11.13,22.26,Cash,6
75,2019-04-28,15:17:39,2,50,4,2.25,9.0,Cash,7
76,2019-04-22,09:05:59,3,10,5,2.27,11.35,Mobile Payment,1
77,2019-04-22,08:46:34,5,68,2,8.7,17.4,Credit Card,5
78,2019-04-17,12:22:35,2,61,5,2.2,11.0,Credit Card,2
79,2019-04-07,11:43:12,2,15,5,14.76,73.8,Mobile Payment,3
80,2019-04-29,00:43:14,4,99,4,8.7,34.8,Credit Card,10
81,2019-04-02,08:31:34,1,7,4,13.85,55.4,Mobile Payment,8
82,2019-04-28,05:48:25,3,51,4,14.29,57.16,Mobile Payment,7
83,2019-04-26,04:42:50,4,14,4,7.25,29.0,Mobile Payment,1
84,2019-04-04,20:40:12,5,58,2,13.3,26.6,Mobile Payment,3
85,2019-04-20,12:21:57,5,67,5,9.08,45.4,Mobile Payment,2
86,2019-04-07,19:04:55,4,29,4,14.93,59.72,Cash,6
87,2019-04-20,08:27:30,2,75,2,10.89,21.78,Credit Card,7
88,2019-04-02,14:43:33,2,93,3,4.75,14.25,Mobile Payment,6
89,2019-04-07,02:40:27,3,97,2,6.96,13.92,Credit Card,1
90,2019-04-27,06:32:05,5,26,3,11.05,33.15,Cash,8
91,2019-04-15,03:10:28,5,64,3,5.05,15.15,Cash,10
92,2019-04-05,08:20:29,4,95,4,14.77,59.08,Mobile Payment,8
93,2019-04-11,03:19:43,1,8,3,7.13,21.39,Cash,3
94,2019-04-13,22:29:48,2,44,1,9.65,9.65,Mobile Payment,1
95,2019-04-21,07:46:45,1,25,1,10.59,10.59,Cash,6
96,2019-04-24,19:44:57,2,95,4,7.28,29.12,Credit Card,6
97,2019-04-24,09:48:53,3,28,4,5.66,22.64,Mobile Payment,6
98,2019-04-20,07:38:53,1,99,2,8.27,16.54,Mobile Payment,6
99,2019-04-06,21:20:29,5,11,2,7.91,15.82,Mobile Payment,7
100,2019-04-18,17:38:54,5,14,2,13.53,27.06,Credit Card,4
101,2019-04-15,08:14:49,2,20,4,6.58,26.32,Credit Card,9
102,2019-04-06,21:35:06,3,5,4,13.05,52.2,Mobile Payment,6
103,2019-04-14,14:15:00,2,36,4,4.42,17.68,Mobile Payment,3
104,2019-04-21,10:27:13,3,42,1,6.65,6.65,Mobile Payment,6
105,2019-04-05,19:30:50,4,60,1,2.68,2.68,Cash,6
106,2019-04-13,21:33:13,4,89,2,4.26,8.52,Credit Card,8
107,2019-04-29,20:42:10,5,34,3,5.66,16.98,Credit Card,7
108,2019-04-07,18:43:40,5,52,2,10.09,20.18,Mobile Payment,5
109,2019-04-02,14:49:58,5,69,2,13.67,27.34,Credit Card,1
110,2019-04-06,21:10:53,1,43,2,4.5,9.0,Mobile Payment,9
111,2019-04-21,06:46:46,5,22,1,4.25,4.25,Credit Card,4
112,2019-04-09,09:24:36,5,78,2,6.19,12.38,Credit Card,4
113,2019-04-04,02:04:45,4,55,1,6.05,6.05,Credit Card,5
114,2019-04-09,17:15:29,2,26,4,3.44,13.76,Cash,1
115,2019-04-10,08:00:09,2,76,1,12.27,12.27,Mobile Payment,3
116,2019-04-02,10:02:36,2,6,1,12.97,12.97,Credit Card,6
117,2019-04-25,12:02:42,3,28,2,6.9,13.8,Mobile Payment,2
118,2019-04-07,14:30:42,1,45,4,7.73,30.92,Credit Card,7
119,2019-04-21,07:24:15,1,32,2,13.09,26.18,Credit Card,1
120,2019-04-10,21:40:16,2,32,3,5.15,15.45,Credit Card,6
121,2019-04-02,10:05:42,3,12,1,8.36,8.36,Mobile Payment,6
122,2019-04-21,22:00:20,3,78,4,2.9,11.6,Cash,8
123,2019-04-05,11:51:20,3,42,2,3.77,7.54,Cash,7
124,2019-04-06,18:48:54,3,14,4,11.24,44.96,Credit Card,4
125,2019-04-18,11:50:45,4,14,2,5.27,10.54,Mobile Payment,6
126,2019-04-17,06:25:30,5,19,4,11.7,46.8,Cash,3
127,2019-04-10,13:05:10,3,71,5,8.26,41.3,Cash,4
128,2019-04-17,21:43:30,2,39,1,2.57,2.57,Mobile Payment,2
129,2019-04-26,22:37:00,3,52,2,4.59,9.18,Credit Card,10
130,2019-04-05,08:00:49,4,28,3,6.34,19.02,Cash,5
131,2019-04-09,19:45:57,1,77,2,9.95,19.9,Credit Card,9
132,2019-04-28,06:43:35,2,39,2,9.62,19.24,Cash,4
133,2019-04-15,09:05:56,3,39,3,3.76,11.28,Credit Card,7
134,2019-04-28,01:12:09,1,100,3,4.34,13.02,Credit Card,10
135,2019-04-15,07:52:50,5,28,5,2.18,10.9,Credit Card,5
136,2019-04-19,08:44:54,1,84,1,4.9,4.9,Mobile Payment,10
137,2019-04-27,12:05:47,3,55,3,5.67,17.01,Mobile Payment,4
138,2019-04-04,15:53:55,1,13,4,3.84,15.36,Cash,1
139,2019-04-20,12:33:21,2,13,5,7.08,35.4,Credit Card,4
140,2019-04-09,14:09:24,1,64,4,14.26,57.04,Cash,9
141,2019-04-07,08:00:05,2,21,5,7.87,39.35,Cash,3
142,2019-04-27,19:27:14,3,24,5,13.39,66.95,Cash,9
143,2019-04-14,00:43:50,1,34,1,6.75,6.75,Cash,10
144,2019-04-30,14:52:01,5,61,1,3.94,3.94,Credit Card,2
145,2019-04-27,21:41:21,2,11,1,2.82,2.82,Cash,2
146,2019-04-14,02:13:22,4,100,4,3.02,12.08,Cash,7
147,2019-04-09,06:49:46,3,46,5,6.77,33.85,Cash,8
148,2019-04-13,05:00:02,1,9,3,6.0,18.0,Cash,6
149,2019-04-25,14:13:13,5,66,2,10.16,20.32,Cash,9
150,2019-04-07,19:27:42,5,92,5,6.8,34.0,Cash,5
151,2019-04-02,14:45:10,1,50,3,9.13,27.39,Credit Card,10
152,2019-04-11,05:55:28,4,68,3,11.16,33.48,Mobile Payment,4
153,2019-04-03,20:10:11,1,28,2,10.19,20.38,Credit Card,9
154,2019-04-20,21:11:52,2,34,2,10.36,20.72,Credit Card,4
155,2019-04-02,11:38:34,4,38,3,2.31,6.93,Cash,10
156,2019-04-17,15:05:19,1,87,2,14.15,28.3,Credit Card,4
157,2019-04-28,22:11:06,2,67,1,7.39,7.39,Credit Card,6
158,2019-04-20,14:19:38,3,6,1,7.16,7.16,Mobile Payment,5
159,2019-04-22,21:00:28,1,86,4,5.5,22.0,Cash,4
160,2019-04-24,07:45:07,5,19,1,6.55,6.55,Cash,2
161,2019-04-01,09:33:52,2,34,1,13.27,13.27,Mobile Payment,3
162,2019-04-09,14:24:13,4,41,1,13.0,13.0,Credit Card,6
163,2019-04-26,02:02:09,5,25,1,6.78,6.78,Cash,1
164,2019-04-09,05:09:13,5,97,4,3.18,12.72,Credit Card,5
165,2019-04-19,04:42:49,2,13,3,7.99,23.97,Mobile Payment,4
166,2019-04-16,12:31:25,1,46,4,14.15,56.6,Mobile Payment,10
167,2019-04-08,04:27:57,1,62,4,13.38,53.52,Cash,9
168,2019-04-08,03:12:00,3,13,5,9.58,47.9,Cash,6
169,2019-04-22,00:33:15,5,81,2,8.16,16.32,Credit Card,9
170,2019-04-19,22:43:27,1,39,4,14.33,57.32,Cash,3
171,2019-04-16,12:14:01,5,32,5,8.54,42.7,Mobile Payment,5
172,2019-04-14,16:35:46,5,98,1,13.34,13.34,Cash,1
173,2019-04-19,09:02:42,2,95,1,7.7,7.7,Cash,1
174,2019-04-22,23:47:49,3,41,1,6.5,6.5,Credit Card,8
175,2019-04-28,04:06:50,2,95,3,2.61,7.83,Credit Card,5
176,2019-04-10,16:57:55,4,13,5,6.48,32.4,Credit Card,4
177,2019-04-29,12:20:49,5,78,5,11.2,56.0,Mobile Payment,8
178,2019-04-22,19:27:18,2,95,3,2.36,7.08,Cash,10
179,2019-04-19,16:49:17,5,35,3,2.1,6.3,Cash,5
180,2019-04-15,09:36:21,5,51,3,14.78,44.34,Credit Card,3
181,2019-04-23,20:13:10,1,36,3,11.92,35.76,Cash,5
182,2019-04-30,04:50:30,3,61,1,13.07,13.07,Cash,6
183,2019-04-29,11:00:08,3,65,5,6.87,34.35,Cash,10
184,2019-04-01,01:58:01,1,55,4,3.51,14.04,Credit Card,10
185,2019-04-02,10:02:00,3,15,5,6.71,33.55,Cash,6
186,2019-04-08,04:49:25,1,95,4,7.87,31.48,Cash,4
187,2019-04-29,01:50:02,4,37,4,11.91,47.64,Mobile Payment,4
188,2019-04-16,14:40:18,3,14,3,13.89,41.67,Cash,10
189,2019-04-27,18:11:11,3,12,4,10.99,43.96,Credit Card,3
190,2019-04-24,10:05:08,3,15,5,4.98,24.9,Cash,5
191,2019-04-26,13:37:36,5,70,5,10.74,53.7,Cash,7
192,2019-04-24,23:25:28,1,80,4,4.37,17.48,Credit Card,3
193,2019-04-03,14:57:48,4,54,4,4.73,18.92,Credit Card,10
194,2019-04-11,01:14:39,3,92,5,12.32,61.6,Credit Card,4
195,2019-04-30,14:06:36,1,53,2,8.52,17.04,Credit Card,1
196,2019-04-24,20:02:23,2,84,2,10.66,21.32,Cash,1
197,2019-04-09,14:05:52,3,98,2,9.38,18.76,Mobile Payment,7
198,2019-04-08,15:32:50,2,58,4,14.32,57.28,Cash,2
199,2019-04-12,14:38:40,4,35,1,4.26,4.26,Cash,9
200,2019-04-27,03:29:06,5,34,4,10.41,41.64,Mobile Payment,7
201,2019-04-07,15:27:10,2,70,3,6.11,18.33,Cash,10
202,2019-04-28,07:32:19,3,74,2,12.94,25.88,Cash,5
203,2019-04-04,18:46:32,4,40,1,8.04,8.04,Cash,6
204,2019-04-16,08:53:26,1,80,3,11.6,34.8,Mobile Payment,9
205,2019-04-15,16:43:30,2,42,5,2.85,14.25,Credit Card,4
206,2019-04-10,00:23:26,5,19,3,12.32,36.96,Credit Card,5
207,2019-04-19,01:59:57,2,54,3,9.2,27.6,Credit Card,8
208,2019-04-06,06:07:38,3,53,1,13.3,13.3,Credit Card,2
209,2019-04-02,11:59:52,2,51,4,9.1,36.4,Cash,9
210,2019-04-15,16:39:18,3,89,1,13.69,13.69,Mobile Payment,1
211,2019-04-22,16:59:21,4,100,1,6.07,6.07,Credit Card,1
212,2019-04-12,16:45:35,1,3,5,4.93,24.65,Credit Card,5
213,2019-04-04,00:59:01,1,38,4,6.53,26.12,Credit Card,8
214,2019-04-10,00:59:03,5,85,4,8.12,32.48,Mobile Payment,10
215,2019-04-29,07:11:38,1,7,2,6.27,12.54,Mobile Payment,10
216,2019-04-04,07:44:59,1,30,4,6.05,24.2,Credit Card,5
217,2019-04-05,15:23:54,4,39,4,13.87,55.48,Mobile Payment,4
218,2019-04-30,18:54:00,1,77,5,9.35,46.75,Cash,1
219,2019-04-05,01:04:28,4,34,2,5.85,11.7,Mobile Payment,10
220,2019-04-06,23:26:36,2,21,3,7.57,22.71,Cash,7
221,2019-04-23,11:16:32,1,82,3,10.24,30.72,Credit Card,1
222,2019-04-28,21:34:20,1,55,1,5.72,5.72,Mobile Payment,4
223,2019-04-06,11:22:39,2,56,1,14.41,14.41,Credit Card,6
224,2019-04-28,14:09:27,5,13,3,11.76,35.28,Mobile Payment,9
225,2019-04-10,17:39:12,3,96,5,11.34,56.7,Mobile Payment,10
226,2019-04-13,21:14:29,5,78,3,3.08,9.24,Mobile Payment,10
227,2019-04-24,19:41:36,3,59,4,4.49,17.96,Cash,10
228,2019-04-25,20:02:16,1,19,1,2.03,2.03,Mobile Payment,3
229,2019-04-11,16:20:20,5,35,2,10.85,21.7,Credit Card,4
230,2019-04-25,12:34:23,3,71,4,2.0,8.0,Mobile Payment,4
231,2019-04-18,14:06:02,3,98,5,5.93,29.65,Cash,10
232,2019-04-14,15:25:27,5,34,5,10.18,50.9,Cash,1
233,2019-04-02,22:32:08,2,54,1,11.07,11.07,Mobile Payment,7
234,2019-04-26,07:56:55,4,16,1,5.19,5.19,Cash,1
235,2019-04-10,18:52:43,3,67,4,6.45,25.8,Mobile Payment,10
236,2019-04-06,21:53:46,3,3,5,2.15,10.75,Credit Card,8
237,2019-04-11,01:45:58,5,73,2,4.28,8.56,Mobile Payment,1
238,2019-04-17,10:59:58,3,89,1,13.85,13.85,Cash,9
239,2019-04-02,17:47:09,4,53,5,12.87,64.35,Cash,4
240,2019-04-23,03:33:59,4,32,1,4.84,4.84,Credit Card,5
241,2019-04-13,18:34:47,4,67,1,11.67,11.67,Cash,9
242,2019-04-23,15:02:15,4,36,1,2.2,2.2,Cash,5
243,2019-04-02,03:25:12,3,75,1,2.36,2.36,Mobile Payment,8
244,2019-04-01,19:36:04,4,29,2,12.26,24.52,Cash,10
245,2019-04-06,14:32:06,2,33,3,11.39,34.17,Cash,2
246,2019-04-15,23:16:50,5,64,4,6.66,26.64,Mobile Payment,1
247,2019-04-08,15:59:07,5,76,3,2.02,6.06,Mobile Payment,2
248,2019-04-15,22:07:32,5,20,3,6.25,18.75,Credit Card,9
249,2019-04-04,03:57:52,3,81,5,7.42,37.1,Cash,3
250,2019-04-26,13:40:32,2,58,5,6.59,32.95,Credit Card,1
251,2019-04-11,19:27:20,1,60,2,2.27,4.54,Credit Card,10
252,2019-04-11,05:55:53,1,11,5,3.19,15.95,Mobile Payment,1
253,2019-04-02,05:22:37,2,40,1,3.01,3.01,Mobile Payment,5
254,2019-04-21,02:50:19,5,81,5,2.26,11.3,Credit Card,9
255,2019-04-13,18:08:06,1,3,2,9.54,19.08,Credit Card,8
256,2019-04-27,05:06:31,4,30,4,5.73,22.92,Mobile Payment,5
257,2019-04-22,22:46:16,2,16,1,3.11,3.11,Cash,5
258,2019-04-25,23:20:57,2,69,1,11.41,11.41,Cash,5
259,2019-04-16,10:18:57,1,74,3,11.54,34.62,Mobile Payment,10
260,2019-04-23,19:59:46,2,36,2,5.82,11.64,Cash,4
261,2019-04-27,00:10:09,4,32,3,14.89,44.67,Mobile Payment,10
262,2019-04-15,18:20:17,2,61,1,10.5,10.5,Cash,8
263,2019-04-24,22:06:21,2,91,3,9.47,28.41,Mobile Payment,8
264,2019-04-15,03:40:24,2,50,2,7.01,14.02,Credit Card,8
265,2019-04-08,04:26:36,1,50,4,5.05,20.2,Cash,5
266,2019-04-08,18:40:17,5,10,2,2.5,5.0,Cash,4
267,2019-04-21,04:01:24,1,20,3,7.02,21.06,Credit Card,7
268,2019-04-10,05:24:16,1,33,4,8.74,34.96,Cash,4
269,2019-04-22,22:11:08,1,9,4,9.8,39.2,Mobile Payment,8
270,2019-04-25,08:27:49,3,94,4,5.42,21.68,Cash,3
271,2019-04-03,05:54:31,5,82,2,2.34,4.68,Mobile Payment,2
272,2019-04-01,02:20:01,5,10,2,10.57,21.14,Credit Card,1
273,2019-04-11,06:27:17,3,63,5,7.22,36.1,Cash,1
274,2019-04-24,01:10:44,4,1,3,7.19,21.57,Cash,6
275,2019-04-04,17:23:40,3,43,3,13.78,41.34,Credit Card,6
276,2019-04-08,20:06:15,3,49,1,4.35,4.35,Credit Card,8
277,2019-04-06,00:54:16,3,71,1,10.38,10.38,Cash,1
278,2019-04-10,14:24:55,1,52,5,12.33,61.65,Cash,2
279,2019-04-04,17:47:41,4,84,2,4.94,9.88,Credit Card,6
280,2019-04-02,17:01:04,4,99,2,11.83,23.66,Cash,7
281,2019-04-02,04:12:20,2,14,3,6.97,20.91,Credit Card,6
282,2019-04-17,04:07:55,5,11,2,14.7,29.4,Credit Card,3
283,2019-04-26,23:39:23,4,52,1,3.41,3.41,Cash,6
284,2019-04-14,04:03:08,5,66,3,14.6,43.8,Credit Card,4
285,2019-04-02,10:42:05,3,25,5,3.02,15.1,Cash,10
286,2019-04-28,07:51:28,5,84,4,14.31,57.24,Credit Card,2
287,2019-04-02,00:26:02,5,58,2,12.92,25.84,Cash,10
288,2019-04-27,18:05:42,3,18,3,3.05,9.15,Cash,1
289,2019-04-19,13:56:54,3,48,3,13.06,39.18,Cash,10
290,2019-04-17,18:10:22,3,84,3,10.08,30.24,Credit Card,8
291,2019-04-30,14:18:55,3,75,3,14.28,42.84,Mobile Payment,5
292,2019-04-17,09:23:51,5,87,2,13.06,26.12,Credit Card,2
293,2019-04-04,08:06:36,3,66,5,11.18,55.9,Cash,10
294,2019-04-13,17:07:27,2,94,1,11.68,11.68,Mobile Payment,6
295,2019-04-19,01:10:36,3,36,1,7.71,7.71,Credit Card,8
296,2019-04-12,20:30:01,3,10,1,5.89,5.89,Cash,9
297,2019-04-30,07:56:04,3,79,1,6.92,6.92,Mobile Payment,5
298,2019-04-01,12:28:35,2,28,3,12.46,37.38,Mobile Payment,5
299,2019-04-15,06:43:05,5,40,2,6.46,12.92,Credit Card,3
300,2019-04-29,04:45:27,4,70,4,5.45,21.8,Cash,4
301,2019-04-21,14:41:21,2,47,1,6.88,6.88,Cash,3
302,2019-04-10,19:36:05,3,96,4,14.63,58.52,Credit Card,2
303,2019-04-25,04:24:59,2,10,2,3.53,7.06,Credit Card,6
304,2019-04-19,05:43:24,3,87,2,2.34,4.68,Mobile Payment,1
305,2019-04-08,10:31:51,1,23,5,12.03,60.15,Mobile Payment,1
306,2019-04-26,02:35:39,3,75,5,14.08,70.4,Mobile Payment,9
307,2019-04-14,20:37:30,5,53,5,4.78,23.9,Cash,4
308,2019-04-18,03:49:42,5,1,3,9.16,27.48,Cash,3
309,2019-04-12,20:44:46,2,9,5,5.63,28.15,Mobile Payment,7
310,2019-04-15,16:22:41,3,82,5,5.0,25.0,Cash,5
311,2019-04-19,05:44:51,3,2,1,13.33,13.33,Mobile Payment,1
312,2019-04-29,19:47:27,5,92,5,3.75,18.75,Cash,3
313,2019-04-11,22:31:07,3,85,3,10.7,32.1,Mobile Payment,5
314,2019-04-19,01:57:23,5,85,2,12.49,24.98,Credit Card,9
315,2019-04-01,20:49:33,2,40,3,14.39,43.17,Cash,7
316,2019-04-24,03:09:10,1,90,3,9.13,27.39,Mobile Payment,8
317,2019-04-20,04:25:33,3,80,1,8.3,8.3,Cash,3
318,2019-04-26,04:46:20,4,86,3,10.85,32.55,Cash,2
319,2019-04-19,00:06:22,2,61,5,6.76,33.8,Credit Card,2
320,2019-04-05,15:45:28,1,58,2,11.38,22.76,Credit Card,3
321,2019-04-20,03:21:28,3,4,5,6.63,33.15,Mobile Payment,5
322,2019-04-03,00:31:55,3,30,3,5.09,15.27,Cash,5
323,2019-04-05,22:37:17,4,51,2,5.28,10.56,Mobile Payment,4
324,2019-04-10,01:40:21,2,30,5,10.2,51.0,Credit Card,2
325,2019-04-19,11:50:22,3,10,2,3.84,7.68,Mobile Payment,1
326,2019-04-18,00:44:29,3,12,4,3.14,12.56,Credit Card,7
327,2019-04-17,10:13:31,5,34,4,3.94,15.76,Credit Card,4
328,2019-04-25,09:12:32,4,83,5,3.9,19.5,Cash,7
329,2019-04-29,04:49:41,5,12,2,12.87,25.74,Credit Card,10
330,2019-04-28,12:56:00,1,61,2,13.3,26.6,Credit Card,7
331,2019-04-19,20:31:01,4,8,5,14.12,70.6,Cash,4
332,2019-04-04,21:11:05,4,84,5,14.1,70.5,Credit Card,8
333,2019-04-08,00:21:32,5,11,1,2.54,2.54,Cash,5
334,2019-04-04,05:00:41,1,31,5,7.87,39.35,Mobile Payment,4
335,2019-04-26,23:10:29,3,80,2,9.34,18.68,Cash,4
336,2019-04-14,16:15:58,1,58,3,4.3,12.9,Cash,1
337,2019-04-12,18:56:15,3,27,3,5.78,17.34,Credit Card,3
338,2019-04-06,11:35:40,2,99,2,3.43,6.86,Mobile Payment,6
339,2019-04-08,19:01:07,4,83,5,3.59,17.95,Credit Card,8
340,2019-04-26,17:20:31,5,96,2,10.95,21.9,Cash,3
341,2019-04-02,00:01:16,2,41,4,10.81,43.24,Cash,6
342,2019-04-02,18:56:43,4,47,4,12.82,51.28,Mobile Payment,6
343,2019-04-14,23:39:30,3,77,4,12.83,51.32,Cash,3
344,2019-04-01,01:38:01,1,42,2,4.5,9.0,Mobile Payment,5
345,2019-04-04,09:14:44,2,34,3,9.89,29.67,Cash,2
346,2019-04-30,19:47:35,3,86,3,11.26,33.78,Mobile Payment,4
347,2019-04-05,07:46:48,4,99,1,8.37,8.37,Cash,8
348,2019-04-06,05:32:41,2,97,1,9.11,9.11,Credit Card,5
349,2019-04-18,22:49:26,3,78,2,6.41,12.82,Cash,2
350,2019-04-14,08:31:03,5,79,4,8.26,33.04,Mobile Payment,3
351,2019-04-14,19:43:39,2,14,4,7.18,28.72,Credit Card,9
352,2019-04-03,21:43:19,5,15,5,4.11,20.55,Credit Card,2
353,2019-04-06,02:21:58,4,21,3,6.25,18.75,Mobile Payment,7
354,2019-04-15,02:06:11,2,94,1,9.76,9.76,Cash,4
355,2019-04-26,11:25:41,2,95,5,7.62,38.1,Mobile Payment,3
356,2019-04-13,22:17:42,2,65,2,3.27,6.54,Mobile Payment,8
357,2019-04-17,11:16:11,2,53,5,3.78,18.9,Cash,6
358,2019-04-27,13:27:49,1,41,5,3.34,16.7,Cash,3
359,2019-04-02,11:19:42,3,53,5,5.01,25.05,Cash,9
360,2019-04-12,11:52:33,4,25,1,14.31,14.31,Cash,2
361,2019-04-13,05:14:59,4,17,4,2.12,8.48,Mobile Payment,2
362,2019-04-27,16:02:07,1,74,1,6.86,6.86,Cash,7
363,2019-04-10,23:59:29,1,97,2,2.62,5.24,Cash,8
364,2019-04-14,12:04:38,3,73,5,2.22,11.1,Credit Card,8
365,2019-04-10,16:20:09,4,92,5,7.31,36.55,Mobile Payment,2
366,2019-04-04,02:01:58,2,48,1,12.81,12.81,Mobile Payment,5
367,2019-04-13,07:11:02,2,70,2,7.77,15.54,Mobile Payment,2
368,2019-04-09,10:25:40,3,59,2,8.31,16.62,Credit Card,8
369,2019-04-14,02:47:37,1,69,4,7.4,29.6,Mobile Payment,3
370,2019-04-14,09:07:15,3,9,3,4.63,13.89,Mobile Payment,1
371,2019-04-14,17:00:19,5,2,2,2.02,4.04,Mobile Payment,2
372,2019-04-26,04:21:18,2,88,5,13.95,69.75,Credit Card,7
373,2019-04-15,04:24:32,3,38,5,8.49,42.45,Mobile Payment,6
374,2019-04-04,15:26:35,5,44,4,3.68,14.72,Credit Card,9
375,2019-04-04,14:48:49,2,10,5,3.59,17.95,Mobile Payment,2
376,2019-04-12,22:47:39,4,38,3,13.0,39.0,Mobile Payment,9
